25,1,14
41,1,17
41,45,4
60,1,12
85,1,18
85,47,4
109,1,17
129,12,17
129,37,9
155,1,17
181,19,15
181,50,5
204,41,11
224,61,11
224,95,3
245,31,12
265,53,13
265,89,4
283,73,9
295,54,10
295,103,3
322,30,9
334,43,9
334,61,3
347,50,17
365,27,12
365,88,6
380,45,12
405,14,9
405,96,9
430,1,12
442,8,11
442,28,3
461,27,13
490,57,11
490,83,5
516,27,7
528,41,12
528,59,9
557,69,6
571,79,13
571,100,8
582,65,9
598,47,8
598,106,9
611,59,13
621,68,16
621,87,5
648,33,11
672,63,9
672,80,5
695,31,16
717,56,11
717,75,5
741,29,6
752,16,14
752,64,9
768,1,11
794,22,12
794,44,6
804,34,12
821,53,12
821,69,9
850,20,9
867,35,10
867,53,3
877,48,7
894,63,14
894,83,5
908,47,5
930,69,10
930,85,4
949,87,7
962,72,8
962,131,8
982,92,5
1010,59,11
1010,136,4
1030,41,12
1057,66,15
1057,94,3
1077,87,11
1096,107,13
1096,131,8
1125,74,12
1135,65,11
1135,101,9
1160,89,13
1181,107,11
1181,135,8
1193,118,14
1222,84,12
1222,176,6
1243,101,17
1257,84,12
1257,149,9
1279,59,9
1291,69,17
1291,96,6
1316,1,111
